time,           PT,             T,            Ba,             A,            Fg,             F,            Fp,         phi_f,         phi_c,            Kf,         iters
   0,          1400,             0,            10,          3400,          7000,             0,             0,           299,             1,             0,             0
  10,      1399.991,    0.04593281,      9.976245,      3400.035,      7000.077,   -0.01536818,   -0.06192791,      300.3493,    -0.3493423,          -nan,             6
  20,      1400.073,   -0.03080971,      9.972435,       3400.04,      7000.088,    -0.0129909,   -0.07491881,      300.5345,    -0.5345363,          -nan,             2
  30,      1400.031,   0.009104513,      9.972583,      3400.037,      7000.085,  -0.004927246,   -0.07984605,      300.4798,    -0.4798276,          -nan,             2
  40,      1400.045,   -0.00415293,      9.971417,      3400.037,      7000.086,  -0.003178944,     -0.083025,      300.5048,    -0.5047932,          -nan,             2
  50,      1400.039,    0.00148245,      9.970809,      3400.036,      7000.086,  -0.001334128,   -0.08435912,      300.4959,    -0.4958898,          -nan,             2
  60,      1400.041, -0.0005957593,      9.969996,      3400.036,      7000.086, -0.0007696802,    -0.0851288,      300.4995,    -0.4994763,          -nan,             2
  70,      1400.041,  0.0002344812,      9.969265,      3400.035,      7000.086,  -0.000344452,   -0.08547326,      300.4981,    -0.4980731,          -nan,             2
  80,      1400.041, -8.238383e-05,      9.968502,      3400.034,      7000.086, -0.0001864162,   -0.08565967,      300.4986,    -0.4985742,          -nan,             1
  90,      1400.041,  4.172119e-05,      9.967752,      3400.033,      7000.086, -8.602182e-05,   -0.08574569,      300.4983,    -0.4983294,          -nan,             1
 100,      1400.041, -6.175493e-06,      9.966997,      3400.033,      7000.086, -4.407461e-05,   -0.08578977,      300.4984,    -0.4983725,          -nan,             1
