time,           PT,             T,            Ba,             A,            Fg,             F,            Fp,         phi_f,         phi_c,            Kf,         iters
   0,          1400,             0,            10,          3400,          7000,             0,             0,           299,             1,             0,             0
  10,     0.1274467,      1057.929,      124.7543,      3058.042,       6242.48,      277.1772,      480.3425,     0.5388286,      299.4612,  9.048892e+08,            37
  20,   0.001790277,      927.2987,      149.2821,      2927.276,      5939.837,      289.9101,      770.2526,    0.02756723,      299.9724,  3.794102e+10,            17
  30,  3.227705e-05,      816.5226,      164.4264,      2816.488,      5677.556,      276.0957,      1046.348,    0.00159068,      299.9984,  1.150047e+12,            16
  40,  7.396882e-07,      721.8769,      174.1512,      2721.832,      5449.101,      252.2753,      1298.624,  0.0001030397,      299.9999,   2.80737e+13,            15
  50,  2.135749e-08,      640.4237,      180.6171,      2640.368,      5249.218,      226.0792,      1524.703,  7.462055e-06,           300,  5.735076e+14,            15
  60,  7.705988e-10,      569.8795,      185.0512,      2569.813,      5073.636,      200.8308,      1725.534,  6.018951e-07,           300,  9.970642e+15,            14
  70,  3.447387e-11,       508.445,       188.177,      2508.368,      4918.851,      177.8077,      1903.341,  5.389021e-08,           300,  1.491421e+17,            13
  80,  1.897766e-12,      454.6841,      190.4356,      2454.597,      4781.965,      157.3467,      2060.688,  5.338998e-09,           300,  1.937541e+18,            11
  90,  1.275933e-13,      407.4371,      192.1038,       2407.34,      4660.562,      139.3751,      2200.063,  5.835766e-10,           300,  2.205019e+19,            13
 100,   1.03983e-14,      365.7577,      193.3606,       2365.65,      4552.612,      123.6625,      2323.726,  7.018218e-11,           300,  2.216683e+20,            13
