time,           PT,             T,            Ba,             A,            Fg,             F,            Fp,         phi_f,         phi_c,            Kf,         iters
   0,          1400,             0,            10,          3400,          7000,             0,             0,           299,             1,             0,             0
  10,      1394.622,      5.194445,      10.10929,      3399.815,      6999.614,      0.370255,    0.01547017,      292.7604,      7.239601,      0.153242,             7
  20,      1426.777,     -25.31214,      9.105323,      3401.463,       7003.08,     -2.187093,    -0.8929487,      371.6181,     -71.61812,          -nan,             5
  30,      1351.213,      48.36588,      10.23824,      3399.576,       6999.11,      1.917598,     -1.027696,      313.8749,      -13.8749,          -nan,             7
  40,      1483.657,     -81.37084,      8.567692,      3402.283,      7004.798,     -3.152951,     -1.645372,      870.0153,     -570.0153,          -nan,            21
  50,      1271.189,      127.3419,      10.78799,      3398.526,      6996.886,      4.223828,     -1.109934,      694.0954,     -394.0954,          -nan,             6
  60,      1509.305,     -112.0312,      11.56396,      3397.269,      6994.247,      3.167322,      2.585641,      1577.004,     -1277.004,     -195.4728,             9
  70,       33.0363,      1272.136,      54.37862,      3305.165,      6796.443,       132.925,      70.63181,      243.6916,      56.30842,      65869.06,            24
  80,     -38.50821,      1155.651,      125.2366,      3117.129,      6386.073,      317.8888,      296.0387,     -227.4832,      527.4832,      -1412013,             4
  90,       60.2982,      905.4106,      157.7461,      2965.685,      6044.157,      333.9066,      621.9364,      238.8508,      61.14923,       1849612,             5
 100,     -57.27389,      896.9643,      173.8372,      2839.656,      5750.797,      306.8755,      942.3275,     -192.9585,      492.9585, -1.025353e+07,             4
