time,           PT,             T,            Ba,             A,            Fg,             F,            Fp,         phi_f,         phi_c,            Kf,         iters
   0,          1400,             0,            10,          3400,          7000,             0,             0,           299,             1,             0,             0
  10,   -0.03521784,      1109.671,       127.163,      3109.627,      6370.531,      313.1086,      316.3609,   -0.08249981,      300.0825, -3.122064e+09,            26
  20,  0.0001596025,      958.6799,      157.8495,      2958.661,      6028.747,      328.3248,      642.9279,  0.0006781615,      299.9993,  1.142031e+12,             4
  30, -9.026058e-07,      833.7934,      173.7213,      2833.764,      5737.757,      302.3673,       959.876, -6.095428e-06,           300, -2.542228e+14,             4
  40,  6.340272e-09,      729.2032,      182.5753,      2729.163,      5488.171,      267.0678,      1244.761,   5.99865e-08,           300,  4.383127e+16,             4
  50, -5.506007e-11,       640.711,      187.8335,      2640.659,      5272.739,      232.8229,      1494.438, -6.468257e-10,           300, -6.283574e+18,             3
  60,  5.885389e-13,      565.1901,      191.1246,      2565.128,      5085.764,      202.4973,      1711.738,  7.642451e-12,           300,  7.590248e+20,             3
  70, -7.900257e-15,      500.2631,      193.2781,       2500.19,      4922.711,      176.4294,       1900.86,  -9.88149e-14,           300,           inf,             3
  80,  2.170291e-16,      444.0901,      194.7417,      2444.006,      4779.921,      154.2005,      2065.879,  1.392673e-15,           300,  1.043819e+23,             3
  90,  1.361331e-16,      395.2249,      195.7693,       2395.13,      4654.413,       135.238,      2210.349, -2.121395e-17,           300,  1.308449e+23,             3
 100,  6.878717e-17,      352.5143,      196.5116,      2352.409,      4543.732,      119.0041,      2337.264,  3.426348e-19,           300,  1.588274e+23,             3
