time	N_iters	x0	x1
0.0	0	5.0	5.0
2.0	5	13.023944957345698	-0.8045871800927534
4.0	3	32.48681761172043	0.04496887477057876
6.0	2	81.22091864803836	-0.0009540937981001304
8.0	2	203.05221605421485	7.935484045765702e-06
10.0	1	507.6305408003197	-2.6191628641981915e-08
12.0	1	1269.076351998612	3.446966230626425e-11
14.0	0	3172.6908799965395	-5.185873113513818e-11
16.0	0	7931.727199991334	7.788079824797075e-11
18.0	0	19829.317999978353	-1.1687685649090875e-10
20.0	0	49573.29499994585	1.753486893782083e-10
22.0	0	123933.23749986467	-2.630430790537603e-10
24.0	0	309833.09374966164	3.9457664610087166e-10
26.0	1	774582.7343741541	-8.490119627043655e-16
28.0	0	1936456.8359353852	1.2735241552514769e-15
30.0	0	4841142.089838463	-1.910289959604651e-15
32.0	0	12102855.224596154	2.8654371754459517e-15
34.0	0	30257138.06149038	-4.298157104792915e-15
36.0	0	75642845.15372595	6.44723646216391e-15
38.0	0	189107112.88431486	-9.67085517623062e-15
40.0	0	472767782.2107872	1.450628305413679e-14
42.0	0	1181919455.526968	-2.17594247550797e-14
44.0	0	2954798638.81742	3.263913723694426e-14
46.0	0	7386996597.043549	-4.895870591801119e-14
48.0	0	18467491492.60887	7.34380589145737e-14
50.0	0	46168728731.52219	-1.1015708839439468e-13
52.0	0	115421821828.80547	1.652356326051125e-13
54.0	0	288554554572.0136	-2.4785344891578096e-13
56.0	0	721386386430.034	3.7178017337853885e-13
58.0	0	1803465966075.085	-5.576702600707287e-13
60.0	0	4508664915187.711	8.365053901078451e-13
62.0	0	11271662287969.275	-1.2547580851628189e-12
64.0	0	28179155719923.188	1.882137127744859e-12
66.0	0	70447889299807.97	-2.8232056916176667e-12
68.0	0	176119723249519.94	4.234808537426727e-12
70.0	0	440299308123799.9	-6.352212806140227e-12
72.0	0	1100748270309499.5	9.528319209210421e-12
74.0	0	2751870675773749.0	-1.4292478813815683e-11
76.0	0	6879676689434372.0	2.143871822072355e-11
78.0	0	1.719919172358593e+16	-3.215807733108534e-11
80.0	0	4.2997979308964824e+16	4.823711599662802e-11
82.0	0	1.0749494827241203e+17	-7.235567399494202e-11
84.0	0	2.6873737068103e+17	1.08533510992413e-10
86.0	0	6.718434267025748e+17	-1.6280026648861945e-10
88.0	0	1.6796085667564367e+18	2.4420039973292904e-10
90.0	0	4.199021416891092e+18	-3.6630059959939364e-10
92.0	1	1.049755354222773e+19	0.0
94.0	0	2.6243883855569326e+19	0.0
96.0	0	6.5609709638923305e+19	0.0
98.0	0	1.6402427409730824e+20	0.0
100.0	0	4.1006068524327056e+20	0.0
